Customer ID,frequency,recency,T,monetary_value,clv
12346.0,6.0,196.0,360.0,47.14333333333334,293.004599838657
12347.0,1.0,37.0,39.0,711.79,1797.577784274295
12349.0,2.0,182.0,224.0,801.31,1319.7516486150437
12352.0,1.0,17.0,27.0,200.05,1120.4176240045579
12356.0,2.0,44.0,59.0,1325.905,3907.860939529608
12358.0,2.0,356.0,366.0,644.59,794.774623959149
12359.0,5.0,309.0,369.0,360.534,926.7215156069773
12360.0,4.0,276.0,290.0,368.2075,973.3865266095518
12361.0,2.0,220.0,317.0,106.075,346.34917638117133
12369.0,2.0,228.0,276.0,721.415,1055.9844241501912
12370.0,1.0,44.0,303.0,211.66,224.2492644341798
12371.0,1.0,236.0,280.0,1571.74,1161.9928101879489
12373.0,1.0,49.0,308.0,325.15000000000003,263.4470946240295
12374.0,1.0,167.0,223.0,857.75,880.9534344956487
12376.0,1.0,28.0,52.0,70.6,762.6417995983982
12377.0,1.0,208.0,224.0,587.24,719.8833238145611
12379.0,1.0,112.0,169.0,400.5,690.502957379032
12380.0,3.0,197.0,297.0,1311.3966666666665,2166.4512722480854
12388.0,1.0,137.0,217.0,658.83,748.8280434079593
12389.0,2.0,253.0,290.0,634.24,930.1795982827123
12391.0,3.0,198.0,297.0,533.38,1027.032110133687
12393.0,1.0,46.0,63.0,513.05,1279.3461370513983
12395.0,3.0,231.0,237.0,307.73333333333335,832.2098050109
12399.0,2.0,259.0,279.0,323.83500000000004,622.724665008524
12402.0,4.0,278.0,305.0,209.89999999999998,636.6508535633027
12406.0,2.0,298.0,332.0,1046.93,1236.034927995002
12408.0,2.0,113.0,133.0,629.06,1520.1619853588254
12409.0,3.0,145.0,200.0,1848.0466666666669,3909.634481870743
12412.0,2.0,137.0,174.0,349.585,884.8619104966253
12415.0,6.0,152.0,162.0,2869.516666666667,12408.449143292304
12417.0,10.0,323.0,368.0,285.871,1294.2039592262406
12418.0,2.0,217.0,265.0,504.34000000000003,843.9464045743962
12419.0,1.0,28.0,48.0,180.1,935.6311804254018
12421.0,1.0,90.0,140.0,213.76,611.4878053672168
12422.0,10.0,327.0,356.0,435.32399999999996,1921.4577051190145
12423.0,1.0,78.0,100.0,464.28000000000003,1003.3982844274177
12424.0,1.0,126.0,183.0,1132.53,1194.4667825446134
12429.0,2.0,181.0,181.0,1164.075,2052.3789446257606
12431.0,10.0,320.0,328.0,325.025,1582.1671946801337
12433.0,4.0,110.0,111.0,1763.2475,6733.95651889253
12435.0,3.0,341.0,372.0,1696.0133333333335,2347.543190061286
12437.0,18.0,342.0,372.0,397.42833333333334,2854.3005382335346
12439.0,1.0,43.0,360.0,76.52000000000001,131.39182884214577
12440.0,1.0,255.0,352.0,290.69,366.6457140875296
12449.0,1.0,28.0,73.0,90.0,679.5703605215665
12450.0,2.0,75.0,109.0,170.95,803.260890373103
12451.0,1.0,66.0,164.0,1483.09,1447.2244801626623
12454.0,3.0,26.0,56.0,2805.9733333333334,10740.74874570407
12455.0,3.0,276.0,356.0,592.2199999999999,982.0524772127781
12458.0,1.0,60.0,122.0,449.48,856.112886344357
12468.0,2.0,156.0,317.0,1249.985,1396.8215245539684
12469.0,1.0,14.0,171.0,1113.7,899.1708474109962
12471.0,27.0,358.0,367.0,702.36,7262.682356686281
12472.0,12.0,356.0,360.0,835.1708333333332,4099.190102572687
12474.0,11.0,288.0,301.0,444.5418181818182,2409.7411145312467
12476.0,7.0,105.0,136.0,866.75,5005.214912933259
12477.0,2.0,224.0,258.0,2517.7,3161.291620138275
12480.0,2.0,108.0,142.0,865.6600000000001,1852.3628325127333
12481.0,5.0,242.0,242.0,759.0939999999999,2363.0194693310955
12482.0,5.0,77.0,288.0,3450.728,5077.151801108016
12483.0,9.0,299.0,312.0,259.32222222222225,1247.8878461169284
12484.0,5.0,198.0,316.0,252.62600000000003,777.8798410730625
12490.0,10.0,360.0,373.0,380.177,1645.5592345352184
12494.0,2.0,211.0,211.0,140.95000000000002,515.545850050015
12497.0,1.0,244.0,279.0,3993.6400000000003,2536.0891693624644
12500.0,6.0,238.0,308.0,215.99333333333334,813.0267281376666
12504.0,1.0,179.0,231.0,162.60000000000002,422.0848130272501
12510.0,5.0,276.0,370.0,751.914,1697.5045611499497
12516.0,1.0,169.0,234.0,647.1,716.9731451319169
12523.0,11.0,358.0,367.0,227.98363636363638,1159.7652504279772
12524.0,7.0,281.0,304.0,868.7842857142857,2997.2164261971047
12525.0,2.0,149.0,282.0,203.64999999999998,467.5878620532344
12527.0,1.0,35.0,164.0,85.0,387.0747667909275
12530.0,4.0,227.0,277.0,434.995,1136.4312013458764
12533.0,1.0,111.0,373.0,437.97,315.82953143197994
12539.0,1.0,266.0,351.0,497.34000000000003,466.54310001891105
12540.0,13.0,354.0,367.0,649.3576923076923,3418.3947399998005
12542.0,1.0,156.0,275.0,117.09,330.6012144073047
12549.0,4.0,122.0,332.0,254.315,557.8534716639513
